student_id,first_name,last_name,gender,year_level,major_id,gpa,enrollment_date,expected_graduation_year,attendance_rate,academic_standing,scholarship_status,active_status
S00001,Cameron,Turner,Male,Sophomore,MAJ022,3.39,2024-10-05 00:00:00,2028,74.38,Good,None,Active
S00002,Jamie,Cooper,Female,Sophomore,MAJ016,2.28,2024-10-19 00:00:00,2028,96.29,Academic Warning,None,Active
S00003,Casey,Parker,Male,Freshman,MAJ016,3.1,2025-10-20 00:00:00,2029,77.47,Good,Partial,Active
S00004,Morgan,Reed,Male,Sophomore,MAJ019,3.14,2024-10-06 00:00:00,2028,93.52,Good,Partial,Active
S00005,Parker,Mitchell,Female,junior,MAJ007,2.72,2023-08-22 00:00:00,2027,81.54,Good,None,Active
S00006,Alex,Parker,Male,Freshman,MAJ011,2.38,2025-10-28 00:00:00,2029,74.34,Academic Warning,Partial,Active
S00007,Parker,Parker,Non-Binary,Senior,MAJ015,4.0,2022-10-13 00:00:00,2026,86.53,Honors,None,Active
S00008,Alex,Cooper,Female,Junior,MAJ004,2.32,2023-09-08 00:00:00,2027,79.0,Academic Warning,None,Graduated
S00009,Alex,Reed,Female,Junior,MAJ010,3.47,2023-08-15 00:00:00,2027,77.54,Good,None,Active
S00010,Avery,Foster,Male,junior,MAJ022,3.17,2023-09-20 00:00:00,2027,92.73,Good,Partial,Graduated
S00011,Blake,Reed,Male,Sophomore,MAJ007,3.02,2024-08-24 00:00:00,2028,73.92,Good,Partial,Active
S00012,Reese,Hayes,Male,Junior,MAJ024,2.2,2023-10-16 00:00:00,2027,90.97,Academic Warning,Partial,Active
S00013,Casey,Parker,Male,Freshman,MAJ003,2.93,2025-09-11 00:00:00,2029,96.87,Good,Full,Active
S00014,Cameron,Turner,Female,Freshman,MAJ009,2.8,2025-10-07 00:00:00,2029,100.0,Good,None,Active
S00015,Cameron,Morgan,Female,Junior,MAJ018,3.16,2023-09-13 00:00:00,2027,100.0,Good,Full,Active
S00016,Reese,Cooper,Non-Binary,Junior,MAJ004,2.03,2023-09-16 00:00:00,2027,83.48,Academic Warning,None,Active
S00017,Reese,Cooper,Male,Junior,MAJ006,3.7,2023-10-24 00:00:00,2027,77.95,Honors,Partial,Active
S00018, Drew ,Parker,Male,Senior,MAJ020,2.78,2022-09-16 00:00:00,2026,98.68,Good,None,Active
